Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
Temp A (K)	Temp B (K)	Re voltage (mV)	Im voltage (mV)	Current (mA)	Phase	Frequency (Hz)
297.060000	296.460000	0.005227	0.000059	0.510171	86.710000	30230
297.080000	296.440000	0.005227	0.000059	0.510171	86.710000	30230
297.060000	296.440000	0.005228	0.000059	0.510171	86.710000	30230
297.060000	296.420000	0.005228	0.000059	0.510171	86.710000	30230
297.030000	296.410000	0.005228	0.000059	0.510171	86.710000	30230
297.040000	296.390000	0.005228	0.000059	0.510171	86.710000	30230
297.040000	296.380000	0.005228	0.000059	0.510171	86.710000	30230
297.040000	296.380000	0.005227	0.000059	0.510171	86.710000	30230
297.030000	296.360000	0.005227	0.000060	0.510171	86.710000	30230
297.030000	296.350000	0.005227	0.000060	0.510171	86.710000	30230
297.020000	296.340000	0.005226	0.000060	0.510171	86.710000	30230
297.010000	296.330000	0.005226	0.000060	0.510171	86.710000	30230
297.000000	296.320000	0.005226	0.000061	0.510171	86.710000	30230
297.000000	296.310000	0.005225	0.000060	0.510171	86.710000	30230
297.000000	296.290000	0.005225	0.000060	0.510171	86.710000	30230
297.010000	296.290000	0.005225	0.000060	0.510171	86.710000	30230
297.000000	296.270000	0.005224	0.000060	0.510171	86.710000	30230
297.000000	296.270000	0.005224	0.000059	0.510171	86.710000	30230
296.980000	296.250000	0.005224	0.000059	0.510171	86.710000	30230
296.980000	296.240000	0.005224	0.000058	0.510171	86.710000	30230
296.990000	296.220000	0.005224	0.000058	0.510171	86.710000	30230
296.970000	296.220000	0.005225	0.000058	0.510171	86.710000	30230
296.980000	296.200000	0.005225	0.000058	0.510171	86.710000	30230
296.970000	296.190000	0.005225	0.000058	0.510171	86.710000	30230
296.980000	296.180000	0.005224	0.000058	0.510171	86.710000	30230
296.940000	296.130000	0.005224	0.000058	0.510171	86.710000	30230
296.950000	296.160000	0.005223	0.000058	0.510171	86.710000	30230
296.950000	296.150000	0.005223	0.000057	0.510171	86.710000	30230
296.940000	296.140000	0.005223	0.000057	0.510171	86.710000	30230
296.940000	296.120000	0.005223	0.000057	0.510171	86.710000	30230
296.950000	296.110000	0.005223	0.000057	0.510171	86.710000	30230
296.920000	296.100000	0.005224	0.000057	0.510171	86.710000	30230
296.910000	296.090000	0.005224	0.000057	0.510171	86.710000	30230
296.910000	296.070000	0.005225	0.000057	0.510171	86.710000	30230
296.910000	296.060000	0.005225	0.000057	0.510171	86.710000	30230
296.900000	296.060000	0.005225	0.000057	0.510171	86.710000	30230
296.890000	296.030000	0.005226	0.000057	0.510171	86.710000	30230
296.900000	296.030000	0.005226	0.000057	0.510171	86.710000	30230
296.890000	296.010000	0.005226	0.000057	0.510171	86.710000	30230
296.880000	296.000000	0.005225	0.000058	0.510171	86.710000	30230
296.890000	295.990000	0.005225	0.000058	0.510171	86.710000	30230
296.880000	295.980000	0.005225	0.000058	0.510171	86.710000	30230
296.870000	295.970000	0.005225	0.000058	0.510171	86.710000	30230
296.870000	295.960000	0.005225	0.000058	0.510171	86.710000	30230
296.860000	295.940000	0.005225	0.000058	0.510171	86.710000	30230
296.870000	295.940000	0.005225	0.000058	0.510171	86.710000	30230
296.850000	295.930000	0.005226	0.000057	0.510171	86.710000	30230
296.850000	295.910000	0.005226	0.000057	0.510171	86.710000	30230
296.830000	295.900000	0.005226	0.000058	0.510123	86.710000	30230
296.830000	295.900000	0.005226	0.000058	0.510123	86.710000	30230
296.830000	295.880000	0.005226	0.000058	0.510123	86.710000	30230
296.840000	295.870000	0.005226	0.000058	0.510123	86.710000	30230
296.810000	295.860000	0.005226	0.000058	0.510123	86.710000	30230
296.820000	295.850000	0.005226	0.000058	0.510123	86.710000	30230
296.810000	295.830000	0.005225	0.000058	0.510123	86.710000	30230
296.800000	295.820000	0.005225	0.000058	0.510123	86.710000	30230
296.800000	295.810000	0.005224	0.000058	0.510123	86.710000	30230
296.790000	295.800000	0.005225	0.000058	0.510123	86.710000	30230
296.780000	295.800000	0.005224	0.000058	0.510123	86.710000	30230
296.770000	295.790000	0.005224	0.000059	0.510123	86.710000	30230
296.770000	295.780000	0.005224	0.000059	0.510123	86.710000	30230
296.770000	295.760000	0.005224	0.000059	0.510123	86.710000	30230
296.770000	295.750000	0.005223	0.000059	0.510123	86.710000	30230
296.760000	295.740000	0.005223	0.000059	0.510123	86.710000	30230
296.750000	295.730000	0.005223	0.000060	0.510123	86.710000	30230
