Temp A (K)	Temp B (K)	current (A)	voltage (V)	R (ohm)
15.195000	13.986000	5.000000E-6	6.154461E-5	12.308921
15.201000	13.979000	5.000000E-6	6.148840E-5	12.297681
15.216000	14.516000	5.000000E-6	6.111609E-5	12.223217
15.235000	14.616000	5.000000E-6	6.081121E-5	12.162241
15.273000	14.485000	5.000000E-6	6.044450E-5	12.088901
15.299000	14.423000	5.000000E-6	6.049930E-5	12.099860
15.317000	14.246000	5.000000E-6	6.024363E-5	12.048725
15.329000	14.138000	5.000000E-6	5.990642E-5	11.981284
15.337000	14.134000	5.000000E-6	5.976733E-5	11.953466
15.354000	14.347000	5.000000E-6	5.954956E-5	11.909911
15.375000	14.765000	5.000000E-6	5.933883E-5	11.867765
15.411000	14.776000	5.000000E-6	5.901849E-5	11.803699
15.437000	14.571000	5.000000E-6	5.884148E-5	11.768295
15.461000	14.430000	5.000000E-6	5.864899E-5	11.729798
15.475000	14.406000	5.000000E-6	5.843964E-5	11.687928
15.488000	14.281000	5.000000E-6	5.814180E-5	11.628359
15.493000	14.552000	5.000000E-6	5.816709E-5	11.633418
15.515000	14.785000	5.000000E-6	5.795918E-5	11.591836
15.541000	14.906000	5.000000E-6	5.761496E-5	11.522991
15.575000	14.699000	5.000000E-6	5.740000E-5	11.479999
15.595000	14.634000	5.000000E-6	5.720190E-5	11.440380
15.612000	14.544000	5.000000E-6	5.681411E-5	11.362823
15.621000	14.438000	5.000000E-6	5.681975E-5	11.363950
15.630000	14.491000	5.000000E-6	5.653035E-5	11.306069
15.648000	14.969000	5.000000E-6	5.639685E-5	11.279371
15.678000	15.025000	5.000000E-6	5.639969E-5	11.279937
15.708000	14.957000	5.000000E-6	5.591358E-5	11.182716
15.732000	14.776000	5.000000E-6	5.573513E-5	11.147027
15.750000	14.676000	5.000000E-6	5.537826E-5	11.075652
15.764000	14.648000	5.000000E-6	5.532629E-5	11.065258
15.777000	14.988000	5.000000E-6	5.517035E-5	11.034071
15.788000	15.156000	5.000000E-6	5.484720E-5	10.969440
15.816000	15.220000	5.000000E-6	5.470530E-5	10.941061
15.840000	15.058000	5.000000E-6	5.455918E-5	10.911837
15.866000	14.897000	5.000000E-6	5.417000E-5	10.834001
15.884000	14.883000	5.000000E-6	5.434842E-5	10.869685
15.902000	14.781000	5.000000E-6	5.397049E-5	10.794097
15.913000	14.958000	5.000000E-6	5.379069E-5	10.758139
15.931000	15.193000	5.000000E-6	5.328347E-5	10.656693
15.953000	15.355000	5.000000E-6	5.336495E-5	10.672991
15.985000	15.276000	5.000000E-6	5.313457E-5	10.626913
16.006000	15.200000	5.000000E-6	5.305305E-5	10.610611
16.030000	15.067000	5.000000E-6	5.277068E-5	10.554137
16.051000	14.988000	5.000000E-6	5.259226E-5	10.518452
16.066000	14.946000	5.000000E-6	5.232671E-5	10.465342
16.080000	15.218000	5.000000E-6	5.199093E-5	10.398186
16.103000	15.520000	5.000000E-6	5.175770E-5	10.351540
16.136000	15.344000	5.000000E-6	5.202606E-5	10.405211
16.159000	15.284000	5.000000E-6	5.177456E-5	10.354912
16.179000	15.186000	5.000000E-6	5.146689E-5	10.293378
16.193000	15.075000	5.000000E-6	5.108332E-5	10.216663
16.202000	15.094000	5.000000E-6	5.086697E-5	10.173393
16.217000	15.539000	5.000000E-6	5.086836E-5	10.173672
16.241000	15.604000	5.000000E-6	5.080655E-5	10.161310
16.270000	15.533000	5.000000E-6	5.057895E-5	10.115789
