TempA(K)	Current(A)	Voltage(V)	R(ohm)
12.236000	1.000000E-4	9.483775E-6	0.094838
12.256000	1.000000E-4	1.774520E-5	0.177452
12.264000	1.000000E-4	1.905179E-5	0.190518
12.288000	1.000000E-4	3.384651E-5	0.338465
12.290000	1.000000E-4	3.452085E-5	0.345209
12.315000	1.000000E-4	5.361493E-5	0.536149
12.317000	1.000000E-4	5.437365E-5	0.543736
12.341000	1.000000E-4	7.688183E-5	0.768818
12.344000	1.000000E-4	7.637604E-5	0.763760
12.368000	1.000000E-4	1.025512E-4	1.025512
12.370000	1.000000E-4	1.009916E-4	1.009916
12.397000	1.000000E-4	1.276726E-4	1.276726
12.397000	1.000000E-4	1.248063E-4	1.248063
12.422000	1.000000E-4	1.519932E-4	1.519931
12.422000	1.000000E-4	1.494642E-4	1.494641
12.447000	1.000000E-4	1.782529E-4	1.782529
12.446000	1.000000E-4	1.742484E-4	1.742484
12.470000	1.000000E-4	2.111301E-4	2.111301
12.469000	1.000000E-4	2.058613E-4	2.058612
12.494000	1.000000E-4	2.754514E-4	2.754514
12.496000	1.000000E-4	2.727118E-4	2.727118
12.518000	1.000000E-4	4.368448E-4	4.368448
12.521000	1.000000E-4	4.319136E-4	4.319136
12.543000	1.000000E-4	6.949315E-4	6.949315
12.545000	1.000000E-4	6.981354E-4	6.981353
12.567000	1.000000E-4	9.917122E-4	9.917122
12.570000	1.000000E-4	1.012450E-3	10.124503
12.592000	1.000000E-4	1.277533E-3	12.775325
12.599000	1.000000E-4	1.310158E-3	13.101580
12.616000	1.000000E-4	1.536336E-3	15.363365
12.624000	1.000000E-4	1.583334E-3	15.833340
12.640000	1.000000E-4	1.768626E-3	17.686265
12.648000	1.000000E-4	1.826035E-3	18.260350
12.665000	1.000000E-4	1.960073E-3	19.600730
12.672000	1.000000E-4	2.014615E-3	20.146150
12.686000	1.000000E-4	2.101657E-3	21.016565
12.700000	1.000000E-4	2.148064E-3	21.480640
12.709000	1.000000E-4	2.190972E-3	21.909715
12.723000	1.000000E-4	2.216432E-3	22.164320
12.732000	1.000000E-4	2.232827E-3	22.328270
12.746000	1.000000E-4	2.246695E-3	22.466950
12.754000	1.000000E-4	2.253818E-3	22.538180
12.768000	1.000000E-4	2.260857E-3	22.608575
12.775000	1.000000E-4	2.264736E-3	22.647355
12.795000	1.000000E-4	2.272280E-3	22.722800
12.798000	1.000000E-4	2.272703E-3	22.727030
12.817000	1.000000E-4	2.278560E-3	22.785595
12.820000	1.000000E-4	2.279067E-3	22.790670
12.838000	1.000000E-4	2.282692E-3	22.826925
12.841000	1.000000E-4	2.283662E-3	22.836620
12.859000	1.000000E-4	2.287286E-3	22.872860
12.862000	1.000000E-4	2.287329E-3	22.873290
12.884000	1.000000E-4	2.290364E-3	22.903640
12.883000	1.000000E-4	2.291627E-3	22.916265
12.905000	1.000000E-4	2.293779E-3	22.937790
12.905000	1.000000E-4	2.293441E-3	22.934405
12.928000	1.000000E-4	2.297909E-3	22.979090
12.927000	1.000000E-4	2.296813E-3	22.968125
12.949000	1.000000E-4	2.298708E-3	22.987085
12.951000	1.000000E-4	2.298837E-3	22.988365
12.971000	1.000000E-4	2.301027E-3	23.010265
12.970000	1.000000E-4	2.300310E-3	23.003100
12.990000	1.000000E-4	2.302839E-3	23.028395
12.989000	1.000000E-4	2.302923E-3	23.029230
13.009000	1.000000E-4	2.303892E-3	23.038925
13.009000	1.000000E-4	2.304316E-3	23.043155
13.028000	1.000000E-4	2.306380E-3	23.063800
13.032000	1.000000E-4	2.306001E-3	23.060015
13.047000	1.000000E-4	2.307519E-3	23.075190
13.051000	1.000000E-4	2.307729E-3	23.077290
13.066000	1.000000E-4	2.308742E-3	23.087420
13.069000	1.000000E-4	2.309078E-3	23.090780
13.083000	1.000000E-4	2.310131E-3	23.101315
13.085000	1.000000E-4	2.310385E-3	23.103850
13.099000	1.000000E-4	2.310806E-3	23.108060
13.101000	1.000000E-4	2.310933E-3	23.109330
13.112000	1.000000E-4	2.312620E-3	23.126200
13.122000	1.000000E-4	2.311818E-3	23.118180
13.129000	1.000000E-4	2.313336E-3	23.133355
13.138000	1.000000E-4	2.313715E-3	23.137155
13.145000	1.000000E-4	2.314178E-3	23.141785
13.153000	1.000000E-4	2.315106E-3	23.151060
13.160000	1.000000E-4	2.314684E-3	23.146840
13.172000	1.000000E-4	2.316161E-3	23.161615
13.173000	1.000000E-4	2.316413E-3	23.164125
13.187000	1.000000E-4	2.316961E-3	23.169615
13.187000	1.000000E-4	2.317762E-3	23.177625
